legacy_path,new_path,content_type,redirect_kind,status
/2020/,/archive/2020/,archive,archive,mapped
/2020/05/,/archive/2020/05/,archive,archive,mapped
/2020/06/,/archive/2020/06/,archive,archive,mapped
/2020/07/,/archive/2020/07/,archive,archive,mapped
/2021/,/archive/2021/,archive,archive,mapped
/2021/03/,/archive/2021/03/,archive,archive,mapped
/animation-curve/,,article,exact,excluded
/boundsint/,,article,exact,excluded
/cinemachine-impulse-scriptableobject/,,article,exact,excluded
/debug-context/,,article,exact,excluded
/gamedesign-contrast-cedec2018/,/articles/gamedesign-contrast-cedec2018/,article,exact,mapped
/garbage-collection/,,article,exact,excluded
/hascomponent/,,article,exact,excluded
/how-to-complete-game-development/,/articles/how-to-complete-game-development/,article,exact,mapped
/inputfield-focus/,,article,exact,excluded
/join-uozu-game-boot-camp-2020/,/articles/join-uozu-game-boot-camp-2020/,article,exact,mapped
/launch-homepage/,,article,exact,excluded
/linq-set-operations/,,article,exact,excluded
/modiferty-introduction/,/articles/modiferty-introduction/,article,exact,mapped
/particlesystem-stopaction/,,article,exact,excluded
/playfab-authenticationcontext/,/articles/playfab-authenticationcontext/,article,exact,mapped
/playfab-getplayerprofile/,/articles/playfab-getplayerprofile/,article,exact,mapped
/playfab-leaderboard/,/articles/playfab-leaderboard/,article,exact,mapped
/playfab-login/,/articles/playfab-login/,article,exact,mapped
/playfab-update-display-name/,/articles/playfab-update-display-name/,article,exact,mapped
/power-of-two/,,article,exact,excluded
/ray/,,article,exact,excluded
/roguelike-map-generation-algorithm/,/articles/roguelike-map-generation-algorithm/,article,exact,mapped
/roguelike-random-enemy-select/,/articles/roguelike-random-enemy-select/,article,exact,mapped
/round-floor-ceil/,,article,exact,excluded
/singleton-scriptableobject/,,article,exact,excluded
/slay-the-spire-review/,/articles/slay-the-spire-review/,article,exact,mapped
/turnbased-gameloop/,/articles/turnbased-gameloop/,article,exact,mapped
/uozu-game-boot-camp-2020-1/,/articles/uozu-game-boot-camp-2020-1/,article,exact,mapped
/use-modifierlist/,/articles/use-modifierlist/,article,exact,mapped
/value-of-the-game/,/articles/value-of-the-game/,article,exact,mapped
/vision-introduction/,/articles/vision-introduction/,article,exact,mapped
/weighted-random/,/articles/weighted-random/,article,exact,mapped
/category/android/,,category,taxonomy,excluded
/category/asset/,/tags/asset/,category,taxonomy,mapped
/category/asset/astar-pathfinding-project/,,category,taxonomy,excluded
/category/asset/choice/,/assets/,category,taxonomy,mapped
/category/asset/cinemachine/,,category,taxonomy,excluded
/category/asset/modiferty/,/tags/modiferty/,category,taxonomy,mapped
/category/asset/textmesh-pro/,,category,taxonomy,excluded
/category/asset/vision/,/tags/vision/,category,taxonomy,mapped
/category/asset/x-pool/,/assets/,category,taxonomy,mapped
/category/csharp/,/tags/csharp/,category,taxonomy,mapped
/category/devlog/,,category,taxonomy,excluded
/category/devlog/treasure-rogue/,/tags/treasure-rogue/,category,taxonomy,mapped
/category/game-design/,/tags/game-design/,category,taxonomy,mapped
/category/misc/,/tags/misc/,category,taxonomy,mapped
/category/play-memo/,/tags/play-review/,category,taxonomy,mapped
/category/playfab/,/tags/playfab/,category,taxonomy,mapped
/category/topic/,,category,taxonomy,excluded
/category/ugui/,,category,taxonomy,excluded
/category/ui/,,category,taxonomy,excluded
/category/unity/,/tags/unity/,category,taxonomy,mapped
/treasure-rogue/,/games/treasure-rogue/,game,exact,mapped
/about/,/about/,page,exact,mapped
/assets/,/assets/,page,exact,mapped
/blog/,/articles/,page,exact,mapped
/games/,/games/,page,exact,mapped
/treasure-rogue/privacy-policy/,/privacy-policy/,page,exact,mapped
/tag/%e3%81%a4%e3%81%8f%e3%82%8buozu/,/tags/tsukuru-uozu/,tag,taxonomy,mapped
/tag/%e3%83%9e%e3%83%83%e3%83%97%e7%94%9f%e6%88%90/,,tag,taxonomy,excluded
/tag/%e3%83%ad%e3%83%bc%e3%82%b0%e3%83%a9%e3%82%a4%e3%82%af/,,tag,taxonomy,excluded
/tag/%e7%b5%82%e4%ba%86%e5%88%a4%e5%ae%9a/,,tag,taxonomy,excluded
/tag/%e8%87%aa%e5%8b%95%e7%94%9f%e6%88%90/,,tag,taxonomy,excluded
/tag/animationcurve/,,tag,taxonomy,excluded
/tag/cullinggroup/,/tags/cullinggroup/,tag,taxonomy,mapped
/tag/evaluate/,,tag,taxonomy,excluded
/tag/keyframe/,,tag,taxonomy,excluded
/tag/lod/,/tags/lod/,tag,taxonomy,mapped
/tag/modiferty/,/tags/modiferty/,tag,taxonomy,mapped
/tag/particlesystem/,,tag,taxonomy,excluded
/tag/script/,,tag,taxonomy,excluded
/tag/stopaction/,,tag,taxonomy,excluded
/tag/tutorial/,/tags/tutorial/,tag,taxonomy,mapped
/tag/ui/,,tag,taxonomy,excluded
/tag/unity/,/tags/unity/,tag,taxonomy,mapped
/tag/vision/,/tags/vision/,tag,taxonomy,mapped
/tag/wrapmode/,,tag,taxonomy,excluded
